06-14 03:51:08.439638 [INFO] login.py:37 | 开始初始化窗口
06-14 03:51:08.444480 [INFO] login.py:44 | 窗口初始化完成
06-14 03:51:15.793685 [INFO] login.py:82 | 开始登录
06-14 03:51:15.808282 [INFO] login.py:116 | 登录成功
06-14 03:51:15.808282 [INFO] login.py:121 | 下次不自动登录
06-14 03:51:15.865753 [INFO] login.py:129 | 登录成功
06-14 14:10:35.724341 [INFO] login.py:37 | 开始初始化窗口
06-14 14:10:35.727329 [INFO] login.py:44 | 窗口初始化完成
06-14 14:10:52.278523 [INFO] login.py:82 | 开始登录
06-14 14:10:52.290484 [INFO] login.py:116 | 登录成功
06-14 14:10:52.290484 [INFO] login.py:118 | 下次自动登录
06-14 14:10:52.308424 [INFO] login.py:148 | 加密成功
06-14 14:10:52.349287 [INFO] login.py:129 | 登录成功
06-14 15:38:40.264769 [INFO] login.py:37 | 开始初始化窗口
06-14 15:38:40.266839 [INFO] login.py:44 | 窗口初始化完成
06-14 15:38:40.305224 [INFO] login.py:63 | 解密成功，自动填写密码
06-14 15:51:11.417484 [INFO] login.py:82 | 开始登录
06-14 15:51:11.417484 [INFO] login.py:116 | 登录成功
06-14 15:51:11.417484 [INFO] login.py:118 | 下次自动登录
06-14 15:51:11.417484 [INFO] login.py:148 | 加密成功
06-14 15:51:11.493494 [INFO] login.py:129 | 登录成功
